0.655	3	0.93332
0.455	66	0.99046
0.63	27	0.991388
0.2	200	0.999583
0.515	55	0.828025
0.35	38	0.999997
0.29	2	1.00001
0.25	8	0.998759
0.26	22	0.997488
0.375	47	0.97411
0.475	156	1.03921
0.425	72	1.00111
1.045	1	0.947783
0.94	252	0.999976
0.29	20	0.998741
1.05	38	1.00019
0.35	46	1.05678
0.29	2	0.89568
0.21	21	0.998761
0.305	97	1.15545
0.24	72	0.979487
0.26	64	0.991969
0.31	8	0.997164
0.43	153	0.488335
0.35	2	0.989416
0.23	23	0.997646
0.24	1	0.999951
0.29	10	1
0.335	29	0.999211
0.34	56	0.858076
0.21	66	1.0065
0.94	7	0.782277
0.35	205	1.00021
0.845	19	0.592217
0.355	87	0.999999
0.12	49	0.999653
0.195	41	0.99992
0.145	37	1.00069
0.47	7	0.999983
0.73	152	2.51942
0.34	3	1.02319
0.19	145	0.999985
0.34	100	0.953
0.665	120	0.999987
0.115	136	0.999933
0.455	28	0.99798
0.75	21	1.0025
0.23	56	0.998981
0.815	15	0.999888
0.37	10	1.24648
0.335	104	1.00755
0.27	113	0.994023
0.525	26	1
0.8	9	0.968488
0.255	47	1.00168
0.415	1	0.999945
0.41	70	0.979557
0.31	30	1.00103
0.65	6	0.832052
0.235	92	0.997773
0.785	96	0.987836
0.29	4	0.999407
0.475	55	1.24742
0.245	246	1.00148
0.115	17	0.999914
0.24	191	1.21207
0.22	53	0.999679
0.46	4	1.15431
0.43	89	1.01221
0.985	39	0.999994
0.22	1	0.999993
0.14	4	0.999615
0.21	46	1.48438
0.625	20	0.868647
0.51	92	1.36511
0.2	1	1.00001
0.5	269	0.999979
0.255	14	0.999935
0.575	27	0.992373
0.39	88	0.978339
0.715	3	0.945759
0.185	31	0.999948
0.64	94	1.16984
0.39	31	0.996653
0.25	64	0.936387
0.335	105	0.818557
0.305	203	0.999999
0.675	7	0.9917
0.195	61	0.999945
0.19	69	0.999825
0.36	16	0.999767
0.845	85	0.55782
0.705	26	1.00023
0.195	10	0.999854
0.63	85	0.755206
0.285	73	1.01629
0.37	66	1.0093
0.155	80	0.999916
0.3	53	0.999999
0.38	33	0.985293
0.16	22	0.999927
0.205	8	1.22209
0.525	341	0.999998
0.365	122	1.00217
0.34	126	0.985846
0.45	64	0.989184
0.215	22	0.99767
0.255	64	0.983221
0.175	29	0.999999
0.41	75	0.980441
0.39	71	0.997945
0.475	218	1.46632
0.785	206	0.999926
0.975	51	0.997772
0.25	48	1.00328
0.44	157	0.708317
0.335	105	0.983119
0.415	43	1.00023
0.21	44	0.999752
0.705	11	1.00021
0.245	44	0.999789
0.345	26	1.00769
0.91	2	0.99579
0.14	32	1.00001
0.155	4	0.999984
0.48	24	0.918031
0.27	52	0.99946
0.325	67	1
0.93	22	0.994677
0.125	87	1
0.29	1	0.962342
0.49	155	1.21362
0.21	6	0.998738
0.125	70	0.999972
0.215	2	0.999856
0.335	50	0.996583
0.255	157	0.999998
0.825	21	1.57587
0.315	99	0.999682
0.195	90	1.00014
0.525	108	0.999988
0.16	10	0.999959
0.635	78	1.00341
0.36	44	0.998854
0.5	61	0.996076
0.26	109	0.999775
0.37	8	0.999991
0.24	18	0.993726
0.78	20	0.998212
0.15	69	1
0.72	1	0.72176
0.825	43	0.99959
0.2	49	1.01659
0.245	34	0.999961
0.29	371	0.897564
0.575	32	0.999967
0.37	3	0.99722
0.325	29	1.02301
0.205	9	1.00248
0.46	1	1.28779
0.145	53	0.999999
0.17	48	0.999673
0.305	30	1.00025
0.29	45	0.999683
0.24	77	0.577974
0.69	23	0.711847
0.195	172	1.0004
0.445	3	0.988107
0.725	36	1.00051
0.29	119	0.952464
0.23	18	0.998623
0.345	132	1.99843
0.41	59	0.991916
0.31	17	1.00243
0.52	15	0.929634
1.16	1	0.998779
0.51	7	0.535991
0.27	31	1.25955
0.56	47	1.0335
0.135	160	0.999348
0.2	7	0.992933
0.335	101	0.989806
0.25	22	0.999201
0.335	30	1.00116
0.22	24	0.998653
0.465	24	0.999889
0.49	29	1.04993
0.19	9	0.999955
0.37	4	0.908198
0.125	161	0.999951
0.25	85	0.998709
0.415	49	1.21973
0.26	23	1.10654
0.96	98	1.01251
0.5	56	0.539367
0.26	91	0.947375
0.255	55	1
0.34	4	0.938238
0.305	90	0.88427
0.15	30	1.00006
0.34	42	1.00269
0.435	67	0.994329
0.125	49	1
0.65	113	1
0.285	144	0.997096
0.265	15	0.976363
0.39	88	0.999947
0.445	22	0.579832
0.71	16	1.00091
0.095	46	0.999999
0.405	37	0.964022
0.345	11	0.999857
0.305	6	0.995941
0.115	47	1
0.33	65	1.03262
0.115	69	0.999999
0.54	104	0.433674
0.22	77	1.0012
0.26	32	1.00002
